"","namn","stad","citizen","religious","experience","sweden","poland","iraq","somalia","woman","skilledjob","invited","city1","city2","city3","city4","city5","city6","city7","immigrant","time"
"33","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.166826654402819
"34","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.153920614917951
"35","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.15392061491864
"36","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.153920614918537
"37","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.153920614918433
"38","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.15392061491833
"39","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.154101098579669
"40","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.154283608000509
"41","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.144369229323387
"42","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.140798563912297
"43","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.162329692082745
"44","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.158352143500049
"45","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.154662924759594
"46","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.151231781175611
"47","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.148032547878267
"48","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.14163374170093
"49","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.139996829162156
"50","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.138490213786996
"51","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.13709893370014
"52","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.146638201151762
"53","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.145056155986285
"54","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.143582745998068
"55","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.14220715304924
"56","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.150356408355438
"57","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.148855605387429
"58","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.147445414653232
"59","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.146117870437175
"60","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.144865914129777
"61","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.143683268679622
"62","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.142564333335377
"63","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.169770038372122
"64","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.165795844565581
"65","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.175398469005372
"66","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171120457567641
"67","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.168170074405424
"68","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.174172597920202
"69","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171366230605469
"70","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.16882996669207
"71","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.173975396203324
"72","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.171120457569254
"73","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.171120457567283
"74","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.171120457568745
"75","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.171120457570249
"76","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.1711204575718
"77","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.171120457571161
"78","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.171120457570582
"79","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.171120457570073
"80","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.176180510308962
"81","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.177490210196178
"82","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.385491140545625
"83","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0.385491140549981
"84","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.385491140554337
"85","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.385491140558694
"86","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.385491140570415
"87","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.385491140569456
"88","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.385491140573381
"89","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.385491140577333
"90","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0263757096411595
"91","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.0256994093931721
"92","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0250569241575815
"93","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0244457796651882
"94","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0238637372923368
"95","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0672103938746608
"96","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0714001840700846
"97","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0747756817489138
"98","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.102095600622453
"99","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.102424352798653
"100","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.123552802294971
"101","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.122334057196019
"102","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.121274722841406
"103","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.120345442949202
"104","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.119523652496642
"105","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.133941476459463
"106","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.132500087031009
"107","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131200772013905
"108","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.130023512118057
"109","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.128951880467401
"110","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.127972271385355
"111","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.138480951155087
"112","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.148158597368346
"113","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.263757096253154
"114","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.263757096223718
"115","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.263757096224578
"116","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.263757096225438
"117","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096240678
"118","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.263757096238313
"119","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096237023
"120","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.263757096236348
"121","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.263757096236056
"122","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.263757096241443
"123","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.26375709624087
"124","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.263757096240558
"125","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.26375709624044
"126","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.263757096240474
"127","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.263757096240625
"128","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263757096240871
"129","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.263757096241193
"130","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.263757096241579
"131","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.263757096242018
"132","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.263757096242501
"133","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.263757096243021
"134","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423423078
"135","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423431909
"136","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.14318242344074
"137","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.143182423441844
"138","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.143182423450675
"139","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.143182423451779
"140","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.102574214476472
"141","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.10309253082427
"142","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.103641352787243
"143","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.10422345514178
"144","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.103234874393656
"145","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103841433969351
"146","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.104488455530463
"147","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.10518012744247
"148","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.105921236800061
"149","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.10671728037812
"150","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.105596388845256
"151","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.104385760306062
"152","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.10307416907523
"153","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.103884881131614
"154","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.104769355637384
"155","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.105738139275447
"156","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.10680388999699
"157","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.119851213304892
"158","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.108207219595541
"159","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.110148106286837
"160","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0967560747546106
"161","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.0982734578247206
"162","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0.100353946458515
"163","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.100608971369709
"164","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.10087158697365
"165","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0975243615150256
"166","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0977477192971712
"167","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0979780359044123
"168","Antoni Kowalski","Stockholm",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0982156416915269
"169","Sarah Amari","Stockholm",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0984608882609935
"170","Ahmed Amari","Stockholm",0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.098714150194959
"171","Awa Zakaria","Stockholm",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0989758269703634
"172","Ahmed Amari","Stockholm",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0992463450574327
"173","Khalid Zakaria","Stockholm",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.0995261602409933
"174","Malin Svensson","Stockholm",1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0998157601792489
"175","Khalid Zakaria","Stockholm",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.100115667245865
"176","Sarah Amari","Stockholm",0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.100426441670668
"177","Antoni Kowalski","Stockholm",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.100748685033351
"178","Julia Kowalski","Stockholm",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.101083044150178
"179","Julia Kowalski","Stockholm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.125506776046849
"180","Awa Zakaria","Stockholm",0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.123632159435305
"181","Khalid Zakaria","Stockholm",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.135741297585422
"182","Malin Svensson","Stockholm",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.133573610533684
"183","Antoni Kowalski","Stockholm",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131593368561891
"184","Erik Svensson","Stockholm",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.131549823549216
"185","Erik Svensson","Stockholm",1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.13150663701253
"186","Julia Kowalski","Stockholm",0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.13146380454335
"187","Awa Zakaria","Stockholm",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.131421321805187
"188","Ahmed Amari","Stockholm",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.131379184532078
"189","Khalid Zakaria","Stockholm",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.13133738852716
"190","Ahmed Amari","Stockholm",1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0.131295929661277
"191","Antoni Kowalski","Stockholm",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.131254803871618
"192","Ahmed Amari","Stockholm",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.131214007159758
"193","Julia Kowalski","Stockholm",1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.131414993933307
"194","Sarah Amari","Stockholm",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.131373885262833
"195","Antoni Kowalski","Stockholm",0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.131333101632473
"196","Awa Zakaria","Stockholm",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.132879402353836
"197","Julia Kowalski","Stockholm",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14067893205231
"198","Julia Kowalski","Stockholm",0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.141095977360363
"199","Khalid Zakaria","Stockholm",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.13867882552361
"200","Antoni Kowalski","Stockholm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.139061625631668
"201","Erik Svensson","Stockholm",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13946759132638
"202","Antoni Kowalski","Stockholm",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.139898891058878
"203","Sarah Amari","Stockholm",0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0.140357972639692
"204","Awa Zakaria","Stockholm",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.140847609718049
"205","Sarah Amari","Stockholm",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.126997314296136
"206","Khalid Zakaria","Stockholm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.123755807607612
"207","Malin Svensson","Stockholm",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.120711167081583
"208","Ahmed Amari","Stockholm",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.117845986886553
"209","Sarah Amari","Stockholm",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0.115144854354233
"210","Julia Kowalski","Stockholm",1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.112594072620407
"211","Erik Svensson","Stockholm",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.110181428326635
"212","Awa Zakaria","Stockholm",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.107895996067382
"213","Ahmed Amari","Stockholm",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.105727972975675
"214","Julia Kowalski","Stockholm",1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0.103668538163318
"215","Awa Zakaria","Stockholm",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.101709732765859
"216","Malin Svensson","Stockholm",1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.118912114025312
"217","Sarah Amari","Stockholm",0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.1166894911859
"218","Sarah Amari","Stockholm",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.112967521950536
"219","Antoni Kowalski","Stockholm",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.127729614648631
"220","Awa Zakaria","Stockholm",1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0.125456867035391
"221","Khalid Zakaria","Stockholm",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.12328420272215
"222","Ahmed Amari","Stockholm",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.121205153191887
"223","Khalid Zakaria","Stockholm",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.119213795597576
